Date,Precipitation (in),Max Temp (F),Min Temp (F),
2015-12-23,0.09,43,39,
2015-12-24,0.11,44,38,
2015-12-25,0.05,41,36,
2015-12-26,T,41,34,
2015-12-27,0.32,42,37,
2015-12-28,0.03,43,37,
2015-12-29,0.00,46,32,
2015-12-30,T,44,27,
2015-12-31,T,43,24,
2016-01-01,T,45,23,
2016-01-02,T,44,22,
2016-01-03,0.01,41,27,
2016-01-04,0.07,40,37,
2016-01-05,0.11,44,38,
2016-01-06,T,51,35,
2016-01-07,T,45,31,
2016-01-08,T,48,30,
2016-01-09,T,50,29,
2016-01-10,0.00,52,31,
2016-01-11,0.07,45,37,
2016-01-12,0.52,49,36,
2016-01-13,0.57,55,41,
2016-01-14,T,49,35,
2016-01-15,0.04,48,30,
2016-01-16,0.41,54,43,
2016-01-17,0.32,50,42,
2016-01-18,0.05,54,40,
2016-01-19,0.46,48,40,
2016-01-20,0.20,52,39,
2016-01-21,1.27,52,45,
2016-01-22,0.27,57,45,
2016-01-23,0.53,48,44,
2016-01-24,0.00,51,38,
2016-01-25,T,54,35,
2016-01-26,0.27,56,46,
2016-01-27,0.81,57,48,
2016-01-28,0.51,56,46,
2016-01-29,0.18,52,44,
2016-01-30,0.02,48,39,
2016-01-31,0.00,47,36,
2016-02-01,0.25,46,37,
2016-02-02,0.02,51,35,
2016-02-03,0.48,49,39,
2016-02-04,0.05,49,45,
2016-02-05,0.15,53,40,
2016-02-06,T,49,35,
2016-02-07,T,51,35,
2016-02-08,T,57,37,
2016-02-09,T,62,37,
2016-02-10,0.16,56,43,
2016-02-11,0.38,55,42,
2016-02-12,0.85,58,48,
2016-02-13,M,M,M,
2016-02-14,M,M,M,
2016-02-15,0.12,55,51,
2016-02-16,0.01,56,50,
2016-02-17,0.46,57,48,
2016-02-18,0.12,53,45,
2016-02-19,0.49,51,41,
2016-02-20,T,53,37,
2016-02-21,0.07,51,33,
2016-02-22,0.01,51,38,
2016-02-23,T,60,36,
2016-02-24,0.02,59,47,
2016-02-25,T,61,39,
2016-02-26,0.15,60,42,
2016-02-27,0.08,57,45,
2016-02-28,0.69,53,43,
2016-02-29,0.11,54,44,
2016-03-01,0.71,58,44,
2016-03-02,0.27,55,46,
2016-03-03,0.03,59,46,
2016-03-04,0.21,57,38,
2016-03-05,0.20,64,49,
2016-03-06,0.39,60,45,
2016-03-07,0.26,53,40,
2016-03-08,0.05,54,39,
2016-03-09,0.95,55,43,
2016-03-10,0.32,56,39,
2016-03-11,0.36,55,35,
2016-03-12,0.02,52,40,
2016-03-13,0.52,54,41,
2016-03-14,0.06,49,41,
2016-03-15,0.00,51,40,
2016-03-16,T,53,40,
2016-03-17,0.00,58,37,
2016-03-18,0.00,63,41,
2016-03-19,T,61,46,
2016-03-20,0.08,55,49,
2016-03-21,0.28,56,47,
2016-03-22,0.01,57,44,
2016-03-23,0.13,53,47,
2016-03-24,0.00,54,44,
2016-03-25,0.00,57,43,
2016-03-26,0.09,59,41,
2016-03-27,0.43,51,39,
2016-03-28,T,56,37,
2016-03-29,T,64,37,
2016-03-30,0.00,68,40,
2016-03-31,0.00,73,43,
2016-04-01,0.00,71,47,
2016-04-02,0.00,63,48,
2016-04-03,0.18,69,45,
2016-04-04,0.11,60,46,
2016-04-05,0.00,57,46,
2016-04-06,0.00,68,43,
2016-04-07,0.00,77,51,
2016-04-08,0.00,76,50,
2016-04-09,T,66,47,
2016-04-10,0.00,59,48,
2016-04-11,0.00,58,50,
2016-04-12,0.44,60,46,
2016-04-13,0.03,59,45,
2016-04-14,0.17,59,44,
2016-04-15,0.00,60,47,
2016-04-16,0.00,68,43,
2016-04-17,0.00,77,49,
2016-04-18,0.00,89,52,
2016-04-19,0.00,81,53,
2016-04-20,0.00,81,55,
2016-04-21,T,73,52,
2016-04-22,0.02,64,54,
2016-04-23,0.02,65,53,
2016-04-24,0.35,55,46,
2016-04-25,0.02,59,44,
2016-04-26,0.00,60,43,
2016-04-27,0.00,61,50,
2016-04-28,0.00,64,52,
2016-04-29,0.04,61,50,
2016-04-30,0.00,68,45,
2016-05-01,0.00,77,50,
2016-05-02,0.00,87,53,
2016-05-03,0.00,74,57,
2016-05-04,0.00,60,54,
2016-05-05,0.00,68,52,
2016-05-06,M,77,62,
2016-05-07,0.00,82,53,
2016-05-08,0.02,63,48,
