SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,2140,13,XEV,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,7,760,0.5,3.7,0.1,0.4,2.6
241,156,2140,13,XNT,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,6,658,0.1,0.4,0,0,1.3
241,156,2150,14,AM,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,12,1301,1.4,17.3,0,0.4,10.2
241,156,2150,14,MID,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,24,2608,0.4,9.6,0.1,1.9,5
241,156,2150,14,PM,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,17,1856,0.3,4.6,0.1,1.3,4.1
241,156,2150,14,XEV,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,8,868,0.2,1.3,0,0.3,2.7
241,156,2150,14,XNT,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,6,658,0,0.2,0,0,1.3
241,156,2672,15,AM,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,12,1301,3.3,39.3,0.8,9.6,12.7
241,156,2672,15,MID,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,24,2609,3.4,82.2,0.6,15,7.9
241,156,2672,15,PM,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,17,1856,4,67.9,0.5,9.2,7.6
241,156,2672,15,XEV,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,8,869,3.5,27.7,0.4,3,5.8
241,156,2672,15,XNT,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,6,658,2.5,15.1,0.1,0.5,3.7
241,156,2180,16,AM,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,12,1301,1,12.3,0.1,1.3,13.6
241,156,2180,16,MID,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,24,2609,0.9,21.5,0.1,2.1,8.7
241,156,2180,16,PM,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,17,1856,1,16.6,0.2,3.5,8.3
241,156,2180,16,XEV,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,8,869,0.7,5.6,0.1,1,6.4
241,156,2180,16,XNT,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,6,657,0.6,3.8,0,0,4.3
241,156,2200,17,AM,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,12,1301,1.4,16.9,0.2,2.3,14.8
241,156,2200,17,MID,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,24,2609,1.2,29.8,0.2,4.5,9.7
241,156,2200,17,PM,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,17,1856,2,33.3,0.2,3.8,10.1
241,156,2200,17,XEV,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,8,869,1.1,8.7,0.2,1.5,7.3
241,156,2200,17,XNT,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,6,658,0.8,4.9,0.2,0.9,5
241,156,2244,18,AM,1,L,I,Denny Way,2nd Ave,FS,S,SEA,12,1301,1,12.3,0.3,4,15.5
241,156,2244,18,MID,1,L,I,Denny Way,2nd Ave,FS,S,SEA,24,2606,1.3,30.2,0.3,7,10.7
241,156,2244,18,PM,1,L,I,Denny Way,2nd Ave,FS,S,SEA,17,1856,1.8,30.1,0.2,3.7,11.6
241,156,2244,18,XEV,1,L,I,Denny Way,2nd Ave,FS,S,SEA,8,867,1,7.9,0.2,1.3,8.1
241,156,2244,18,XNT,1,L,I,Denny Way,2nd Ave,FS,S,SEA,6,658,0.7,4.2,0.1,0.6,5.6
241,156,2220,19,AM,1,L,I,3rd Ave,Cedar St,FS,S,SEA,12,1301,0,0,0.4,5.3,15
241,156,2220,19,MID,1,L,I,3rd Ave,Cedar St,FS,S,SEA,24,2609,0,0,0.5,11.8,10.2
241,156,2220,19,PM,1,L,I,3rd Ave,Cedar St,FS,S,SEA,17,1856,0,0.6,0.5,8.8,11.2
241,156,2220,19,XEV,1,L,I,3rd Ave,Cedar St,FS,S,SEA,8,869,0.2,1.7,0.5,3.8,7.8
241,156,2220,19,XNT,1,L,I,3rd Ave,Cedar St,FS,S,SEA,6,658,0,0,0.2,1.4,5.4
241,156,400,20,PM,1,L,I,3rd Ave,Bell St,FS,S,SEA,1,109,0.6,0.6,0.5,0.5,4.3
241,156,400,20,XEV,1,L,I,3rd Ave,Bell St,FS,S,SEA,2,216,0.8,1.6,1,2,6.9
241,156,420,21,PM,1,L,I,3rd Ave,Virginia St,NS,S,SEA,1,109,0.2,0.2,1,1,3.5
241,156,420,21,XEV,1,L,I,3rd Ave,Virginia St,NS,S,SEA,2,216,0.3,0.6,0.9,1.7,6.3
241,156,430,22,PM,1,L,I,3rd Ave,Pine St,NS,S,SEA,1,109,0.2,0.2,1.5,1.5,2.2
241,156,430,22,XEV,1,L,I,3rd Ave,Pine St,NS,S,SEA,2,216,0.4,0.7,2.5,4.9,4.2
241,156,450,23,PM,1,L,I,3rd Ave,Union St,FS,S,SEA,1,109,0.2,0.2,0.7,0.7,1.8
241,156,450,23,XEV,1,L,I,3rd Ave,Union St,FS,S,SEA,2,216,0.4,0.8,1.4,2.7,3.2
241,156,480,24,PM,1,L,I,3rd Ave,Marion St,NS,S,SEA,1,108,0.1,0.1,0.4,0.4,1.5
241,156,480,24,XEV,1,L,I,3rd Ave,Marion St,NS,S,SEA,2,216,0.2,0.3,0.6,1.1,2.8
241,156,500,25,PM,1,L,I,3rd Ave,James St,NS,S,SEA,1,104,0,0,0.1,0.1,1.4
241,156,500,25,XEV,1,L,I,3rd Ave,James St,NS,S,SEA,2,215,0,0,0.4,0.7,2.5
241,156,515,26,PM,1,L,I,3rd Ave S,S Main St,NS,S,SEA,1,83,0,0,0.7,0.7,1
241,156,515,26,XEV,1,L,I,3rd Ave S,S Main St,NS,S,SEA,2,214,0.2,0.3,0.6,1.2,2
241,156,1471,27,PM,1,L,I,S Jackson St,5th Ave S,NS,S,SEA,1,109,0.1,0.1,1.1,1.1,0
241,156,1471,27,XEV,1,L,I,S Jackson St,5th Ave S,NS,S,SEA,2,216,0.1,0.2,2.2,4.3,0
241,156,3600,1,AM,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,13,1410,2.7,34.5,0,0,15
241,156,3600,1,MID,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,24,2575,4,96.3,0,0,15.5
241,156,3600,1,PM,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,16,1725,3.5,56.4,0,0,13.3
241,156,3600,1,XEV,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,6,654,3,17.8,0,0,8.2
241,156,3600,1,XNT,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,4,434,2.5,10.1,0,0,6.3
241,156,1500,2,AM,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,13,1388,0.5,6.8,0.2,2,15.4
241,156,1500,2,MID,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,24,2550,0.9,22,0.9,21.5,15.6
241,156,1500,2,PM,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,16,1705,0.8,12.1,0.9,14,13.2
