Estimates of Group Quarter Population for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Group Quarters Population 2010,Estimated Group Quarters Population 2011,Estimated Group Quarters Population 2012,Estimated Group Quarters Population 2013,Estimated Group Quarters Population 2014,Estimated Group Quarters Population 2015,Estimated Group Quarters Population 2016,Estimated Group Quarters Population 2017,Estimated Group Quarters Population 2018,Estimated Group Quarters Population 2019,2020 Census (P.L. 94-171) Group Quarters Population,OFM Adjusted Group Quarter Population 2020,Estimated Group Quarter Population 2021,Estimated Group Quarter Population 2022,Estimated Group Quarter Population 2023,Estimated Group Quarter Population 2024,Estimated Group Quarter Population 2025,Numeric Change in Group Quarters Population 2020 to 2025,Percent Change in GQ Population 2020 to 2025
Clallam,53,009,001500,53009001500,"October 3, 2025",2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001600,53009001600,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001701,53009001701,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001702,53009001702,"October 3, 2025",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001800,53009001800,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001901,53009001901,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001902,53009001902,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,002001,53009002001,"October 3, 2025",98,101,105,108,111,115,118,121,124,130,133,133,133,133,133,133,133,0,0.00%
Clallam,53,009,002002,53009002002,"October 3, 2025",89,103,108,105,94,83,85,70,75,78,76,76,49,49,70,85,85,9,11.84%
Clallam,53,009,002100,53009002100,"October 3, 2025",174,211,200,195,208,201,188,194,189,188,164,164,154,154,162,163,163,-1,-0.61%
Clallam,53,009,002301,53009002301,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,002302,53009002302,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,002400,53009002400,"October 3, 2025",922,918,917,898,869,892,884,880,850,806,793,793,809,390,384,415,459,-334,-42.12%
Clallam,53,009,940000,53009940000,"October 3, 2025",10,10,9,9,8,8,7,7,6,6,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,990100,53009990100,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040101,53011040101,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040102,53011040102,"October 3, 2025",5,5,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040201,53011040201,"October 3, 2025",6,7,8,9,10,11,12,13,14,15,15,15,15,15,15,15,15,0,-0.59%
Clark,53,011,040202,53011040202,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040203,53011040203,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040301,53011040301,"October 3, 2025",3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040303,53011040303,"October 3, 2025",11,12,14,15,16,18,19,21,22,23,24,24,24,24,24,24,24,0,-0.59%
Clark,53,011,040304,53011040304,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040305,53011040305,"October 3, 2025",0,3,6,9,12,15,18,21,24,27,29,29,29,29,29,29,29,0,0.00%
Clark,53,011,040403,53011040403,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,0,-0.59%
Clark,53,011,040407,53011040407,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040408,53011040408,"October 3, 2025",50,50,50,49,49,49,49,49,48,48,46,46,46,46,46,46,46,0,-0.59%
Clark,53,011,040409,53011040409,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040411,53011040411,"October 3, 2025",18,34,51,68,84,102,119,136,153,171,182,182,182,182,182,181,181,-1,-0.59%
Clark,53,011,040412,53011040412,"October 3, 2025",6,7,7,8,9,9,10,10,11,12,12,12,12,12,12,12,12,0,-0.59%
Clark,53,011,040413,53011040413,"October 3, 2025",10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,-0.59%
Clark,53,011,040414,53011040414,"October 3, 2025",5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,0,-0.60%
Clark,53,011,040415,53011040415,"October 3, 2025",96,91,93,90,92,92,73,72,66,66,58,58,47,47,58,70,70,12,20.69%
Clark,53,011,040416,53011040416,"October 3, 2025",2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040504,53011040504,"October 3, 2025",219,473,478,476,469,480,477,483,482,478,471,471,310,184,225,0,0,-471,-100.00%
Clark,53,011,040505,53011040505,"October 3, 2025",29,27,25,23,21,18,16,14,12,9,7,7,7,7,7,7,7,0,-0.60%
Clark,53,011,040507,53011040507,"October 3, 2025",0,1,2,2,3,4,5,6,7,7,8,8,8,8,8,8,8,0,-0.08%
Clark,53,011,040509,53011040509,"October 3, 2025",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040510,53011040510,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040511,53011040511,"October 3, 2025",8,7,6,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040512,53011040512,"October 3, 2025",0,2,4,5,7,9,11,13,15,17,18,18,18,18,18,18,18,0,0.00%
Clark,53,011,040513,53011040513,"October 3, 2025",9,10,10,11,12,12,13,14,14,15,15,15,15,15,15,15,15,0,0.00%
Clark,53,011,040603,53011040603,"October 3, 2025",19,19,18,18,18,17,17,17,16,16,15,15,15,15,15,15,15,0,-0.59%
Clark,53,011,040604,53011040604,"October 3, 2025",11,10,10,9,9,8,8,7,6,6,5,5,5,5,5,5,5,0,-0.60%
Clark,53,011,040605,53011040605,"October 3, 2025",0,7,14,21,28,35,42,50,57,64,69,69,69,69,66,56,54,-15,-21.74%
Clark,53,011,040608,53011040608,"October 3, 2025",12,11,10,9,9,8,7,6,5,4,3,3,3,3,3,3,3,0,-0.60%
Clark,53,011,040609,53011040609,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040610,53011040610,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040703,53011040703,"October 3, 2025",31,32,33,33,34,35,36,37,38,38,38,38,38,38,38,38,38,0,-0.59%
Clark,53,011,040706,53011040706,"October 3, 2025",7,8,9,10,11,12,13,14,15,16,17,17,17,17,17,17,17,0,-0.59%
Clark,53,011,040707,53011040707,"October 3, 2025",23,23,23,23,23,22,22,22,22,22,21,21,21,21,21,21,21,0,-0.60%
Clark,53,011,040709,53011040709,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040711,53011040711,"October 3, 2025",13,13,12,12,11,11,10,10,9,9,8,8,8,8,8,8,8,0,-0.59%
Clark,53,011,040712,53011040712,"October 3, 2025",37,37,38,38,39,39,40,40,40,41,40,40,40,40,40,40,40,0,-0.59%
Clark,53,011,040713,53011040713,"October 3, 2025",12,12,11,11,10,10,9,9,8,8,7,7,7,7,7,7,7,0,-0.59%
Clark,53,011,040714,53011040714,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040715,53011040715,"October 3, 2025",16,16,15,15,14,14,13,13,12,12,11,11,11,11,11,11,11,0,-0.59%
Clark,53,011,040803,53011040803,"October 3, 2025",10,10,11,11,12,12,13,13,14,14,14,14,14,14,14,14,14,0,-0.59%
Clark,53,011,040806,53011040806,"October 3, 2025",25,34,42,51,60,69,78,88,96,105,111,111,111,111,111,110,110,-1,-0.59%
Clark,53,011,040808,53011040808,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040809,53011040809,"October 3, 2025",10,10,9,9,9,8,8,7,7,7,6,6,6,6,6,6,6,0,-0.60%
Clark,53,011,040810,53011040810,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clark,53,011,040811,53011040811,"October 3, 2025",6,7,8,9,10,11,12,13,14,15,15,15,15,15,15,15,15,0,-0.59%
